"plot","event","year","doy","date","genus","species"
"EM1","ffd",1974,195,"1974-07-14","Aconitum","columbianum"
"EM1","ffd",1975,211,"1975-07-30","Aconitum","columbianum"
"EM1","ffd",1977,189,"1977-07-08","Aconitum","columbianum"
"EM1","ffd",1982,215,"1982-08-03","Aconitum","columbianum"
"EM1","ffd",1984,209,"1984-07-27","Aconitum","columbianum"
"EM1","ffd",1985,197,"1985-07-16","Aconitum","columbianum"
"EM1","ffd",1986,194,"1986-07-13","Aconitum","columbianum"
"EM1","ffd",1987,199,"1987-07-18","Aconitum","columbianum"
"EM1","ffd",1992,207,"1992-07-25","Aconitum","columbianum"
"EM1","ffd",1993,203,"1993-07-22","Aconitum","columbianum"
"EM1","ffd",1995,226,"1995-08-14","Aconitum","columbianum"
"EM1","ffd",1996,197,"1996-07-15","Aconitum","columbianum"
"EM1","ffd",1997,194,"1997-07-13","Aconitum","columbianum"
"EM1","ffd",1998,191,"1998-07-10","Aconitum","columbianum"
"EM1","ffd",1999,211,"1999-07-30","Aconitum","columbianum"
"EM1","ffd",2004,200,"2004-07-18","Aconitum","columbianum"
"EM1","ffd",2005,204,"2005-07-23","Aconitum","columbianum"
"EM1","ffd",2006,196,"2006-07-15","Aconitum","columbianum"
"EM1","ffd",2007,186,"2007-07-05","Aconitum","columbianum"
"EM1","ffd",2008,208,"2008-07-26","Aconitum","columbianum"
"EM1","ffd",2009,198,"2009-07-17","Aconitum","columbianum"
"EM1","ffd",1983,180,"1983-06-29","Androsace","septentrionalis"
"EM1","ffd",1999,167,"1999-06-16","Androsace","septentrionalis"
"EM1","ffd",2001,149,"2001-05-29","Androsace","septentrionalis"
"EM1","ffd",1974,181,"1974-06-30","Arabis","drummondii"
"EM1","ffd",1977,162,"1977-06-11","Arabis","drummondii"
"EM1","ffd",1988,171,"1988-06-19","Arabis","drummondii"
"EM1","ffd",1995,203,"1995-07-22","Arabis","drummondii"
"EM1","ffd",1994,205,"1994-07-24","Cirsium","na"
"EM1","ffd",1995,230,"1995-08-18","Cirsium","na"
"EM1","ffd",1998,209,"1998-07-28","Cirsium","na"
"EM1","ffd",2003,209,"2003-07-28","Cirsium","na"
"EM1","ffd",1974,146,"1974-05-26","Claytonia","lanceolata"
"EM1","ffd",1975,154,"1975-06-03","Claytonia","lanceolata"
"EM1","ffd",1976,157,"1976-06-05","Claytonia","lanceolata"
"EM1","ffd",1979,156,"1979-06-05","Claytonia","lanceolata"
"EM1","ffd",1980,159,"1980-06-07","Claytonia","lanceolata"
"EM1","ffd",1981,136,"1981-05-16","Claytonia","lanceolata"
"EM1","ffd",1982,153,"1982-06-02","Claytonia","lanceolata"
"EM1","ffd",1983,159,"1983-06-08","Claytonia","lanceolata"
"EM1","ffd",1984,153,"1984-06-01","Claytonia","lanceolata"
"EM1","ffd",1985,150,"1985-05-30","Claytonia","lanceolata"
"EM1","ffd",1986,151,"1986-05-31","Claytonia","lanceolata"
"EM1","ffd",1987,129,"1987-05-09","Claytonia","lanceolata"
"EM1","ffd",1988,135,"1988-05-14","Claytonia","lanceolata"
"EM1","ffd",1989,133,"1989-05-13","Claytonia","lanceolata"
"EM1","ffd",1991,150,"1991-05-30","Claytonia","lanceolata"
"EM1","ffd",1992,147,"1992-05-26","Claytonia","lanceolata"
